Column Name,Description,Data Type
reservation_total_reserved_normalized_units,Sum of reserved normalized units,string
reservation_total_reserved_units,Reserved units for the reservation,string
reservation_units_per_reservation,Units per reservation,string
reservation_unused_amortized_upfront_fee_for_billing_period,Amortized portion of unused upfront fee,double
reservation_unused_normalized_unit_quantity,Unused normalized units,double
reservation_unused_quantity,Unused RI hours,double
reservation_unused_recurring_fee,Recurring fees for unused hours,double
reservation_upfront_value,Upfront price paid for RI,double
resource_tags,Resource tags, as key-value pairs,map <string, string>
savings_plan_amortized_upfront_commitment_for_billing_period,Amortized upfront fee for Savings Plan,double
savings_plan_end_time,End time for the Savings Plan,string
savings_plan_instance_type_family,Instance family for the Savings Plan,string
savings_plan_net_amortized_upfront_commitment_for_billing_period,Net amortized upfront for Savings Plan(double)
savings_plan_net_recurring_commitment_for_billing_period,Net recurring commitment (after discount),double
savings_plan_net_savings_plan_effective_cost,Effective cost with Savings Plan,double
savings_plan_offering_type,Type of Savings Plan purchased,string
savings_plan_payment_option,Payment options (All/Partial/No Upfront),string
savings_plan_purchase_term,Duration of Savings Plan,string
savings_plan_recurring_commitment_for_billing_period,Monthly recurring fee for Savings Plan,double
savings_plan_region,Region for the Savings Plan,string
savings_plan_savings_plan_a_r_n,Unique Savings Plan identifier,string
savings_plan_savings_plan_effective_cost,Proportion of the plan commitment allocated to usage,double
savings_plan_savings_plan_rate,Rate for the usage,double
savings_plan_start_time,Start date for the Savings Plan,string
savings_plan_total_commitment_to_date,Total amortized and recurring commitment to date,double
savings_plan_used_commitment,Dollar amount of the Savings Plan commitment used,double
split_line_item_actual_usage,Actual vCPU or memory usage (ECS/EKS),double
split_line_item_net_split_cost,Effective split cost after all discounts,double
split_line_item_net_unused_cost,Unused effective cost after discounts,double
split_line_item_parent_resource_id,Parent EC2 instance ID,string
split_line_item_public_on_demand_split_cost,Cost for allocated CPU/memory based on public on-demand,double
split_line_item_public_on_demand_unused_cost,Unused on-demand cost for allocated CPU/memory,double
split_line_item_reserved_usage,Reserved vCPU or memory usage,double
split_line_item_split_cost,Cost for CPU/memory allocated to ECS task/K8s pod,double
split_line_item_split_usage,Allocated vCPU/memory for ECS task/K8s pod,double
split_line_item_split_usage_ratio,Ratio of allocated vs. total available CPU/memory,double
split_line_item_unused_cost,Unused cost for CPU/memory allocated,double
